Top #,Twitter 
1,"ARY Digital,Entertainment,19.2M"
2,"HAR PAL GEO,Entertainment,14.4M"
3,"TRT Ertugrul by PTV,Entertainment,12.3M"
4,"HUM TV,Entertainment,12.2M"
5,"Coke Studio,Music,9.82M"
6,"Geo News,News & Politics,8.7M"
7,"AJ Official,Education,7.22M"
8,"ARY News,News & Politics,6.78M"
9,"Islamic Teacher Official,Education,6.43M"
10,"SAMAA TV,News & Politics,6.02M"
11,"Hukam Ali,Music,5.17M"
12,"Heera Gold,People & Blogs,5.15M"
13,"Tariq Jamil Official,Education,4.94M"
14,"Pyaar Lafzon Mein Kahan,Film & Animation,4.91M"
15,"Talk Shows Central,News & Politics,4.73M"
16,"Kch Multimedia Naat,Music,4.44M"
17,"Dramas Central,Entertainment,4.25M"
18,"Top Pakistani Dramas,Entertainment,4.24M"
19,"The Urdu Teacher,Education,4.02M"
20,"Dunya News,News & Politics,3.98M"
21,"ISPR Official,News & Politics,3.92M"
22,"Kitchen with Amna,Howto & Style,3.87M"
23,"UrduPoint.com,Entertainment,3.82M"
24,"92 News HD,News & Politics,3.68M"
25,"A Plus Entertainment,Entertainment,3.66M"
26,"BOL Network,Entertainment,3.57M"
27,"Haqeeqat TV,Entertainment,3.53M"
28,"HUM TV Dramas,Entertainment,3.42M"
29,"Dilkash Beauty,People & Blogs,3.25M"
30,"Unisys Music,Music,3.24M"
31,"Food Fusion,Howto & Style,3.16M"
32,"Pakistan Super League,Sports,3.05M"
33,"Islam Advisor,Education,3.03M"
34,"Memoona Muslima,Howto & Style,3.02M"
35,"Express News,News & Politics,2.9M"
36,"Rohail Voice,Education,2.88M"
37,"Hafiz Tahir Qadri,Music,2.84M"
38,"Voice Daily,People & Blogs,2.81M"
39,"Village Food Secrets,Howto & Style,2.76M"
40,"Pakistan Cricket,Sports,2.75M"
41,"Best Pakistani Dramas,Entertainment,2.71M"
42,"HUM SAB,Entertainment,2.67M"
43,"Qasim Ali Shah,Education,2.66M"
44,"Spread The Islam,Education,2.59M"
45,"Malumat Tube Official,Education,2.52M"
46,"Desi Health TV,Howto & Style,2.45M"
47,"Mazaaq Raat Official,Entertainment,2.42M"
48,"Allah Ki Qudrat,Education,2.41M"
49,"Urdu Mag,Education,2.39M"
50,"Healthsubzwari,People & Blogs,2.35M"
51,"Islamic Solution,Education,2.28M"
52,"Sahir Ali Bagga,Music,2.27M"
53,"Ask Muslim Teacher,Education,2.2M"
54,"Asif Ali TV,People & Blogs,2.19M"
55,"Rokhri Production,Music,2.18M"
56,"MessageTV,Education,2.17M"
57,"Desi Health Tips,Howto & Style,2.16M"
58,"Sar e Aam,News & Politics,2.14M"
59,"Madani Channel,Education,2.14M"
60,"Daily Pakistan Global,Entertainment,2.13M"
61,"Aisha Health With Beauty,Education,2.12M"
62,"Asad Ali TV,Science & Technology,2.07M"
63,"Irfan Malik,Music,2.07M"
64,"Reality Tv,Education,2.06M"
65,"Urdu Lab,Education,2M"
66,"BSports Pakistan,Entertainment,1.99M"
67,"Crazy Prank TV,Entertainment,1.96M"
68,"Urdu Cover,Education,1.95M"
69,"BOL News,News & Politics,1.94M"
70,"RKG ARMY,Gaming,1.94M"
71,"Merium Pervaiz,Howto & Style,1.91M"
72,"Peep Peep,Entertainment,1.87M"
73,"Atif Aslam,Music,1.87M"
74,"Qari Muhammad Ilyas,Education,1.86M"
75,"Peoplive,Education,1.86M"
76,"KHOJI TV,Education,1.83M"
77,"Naya Pakistan,Entertainment,1.82M"
78,"Pak Tv24,News & Politics,1.82M"
79,"Vidly,Music,1.81M"
80,"Dumb TV,Comedy,1.81M"
81,"Islamic Hub Official,Education,1.79M"
82,"Mubasher Lucman Official,News & Politics,1.78M"
83,"Majid Hussain,Music,1.78M"
84,"knowldge Factory,Education,1.73M"
85,"Bulbulay,Entertainment,1.72M"
86,"Purisrar Dunya,Entertainment,1.71M"
87,"Star ANONYMOUS,Gaming,1.7M"
88,"Neo TV Network,News & Politics,1.7M"
89,"BaBa Food RRC,People & Blogs,1.68M"
90,"Sports Central,Sports,1.66M"
91,"Ptv Sports Official,Sports,1.66M"
92,"Daily URDU Update,Education,1.63M"
93,"Dekho Suno Jano,News & Politics,1.63M"
94,"GNN,News & Politics,1.61M"
95,"ilmkidunya,Education,1.6M"
96,"Shahmeer Abbas Official,Entertainment,1.6M"
97,"VideoWaliSarkar,Science & Technology,1.6M"
98,"Free Fire World,Gaming,1.57M"
99,"Lahore News HD,News & Politics,1.57M"
100,"Knowledge Power,Education,1.54M"
101,"Public News,News & Politics,1.51M"
102,"Neo Tv Network - Official,News & Politics,1.51M"
103,"Dr. Israr Ahmad Official,Education,1.5M"
104,"Ramiz Speaks,Sports,1.5M"
105,"Islamic Releases,Music,1.48M"
106,"Express TV,Entertainment,1.48M"
107,"Timeline,Education,1.47M"
108,"Zama Voice,Education,1.47M"
109,"Dr. Bilquis Shaikh,Howto & Style,1.46M"
110,"Engineer Muhammad Ali Mirza - Official Channel,Education,1.46M"
111,"KhujLee Family,Comedy,1.45M"
112,"Anam Home Remedy,Education,1.43M"
113,"Kitchen With mehnaz Abid,People & Blogs,1.39M"
114,"HASI TV,Education,1.39M"
115,"Imran Khan,News & Politics,1.38M"
116,"Fashion Beauty,Howto & Style,1.37M"
117,"Cute Pathan Ahmad Shah,Entertainment,1.36M"
118,"Pakilinks News,News & Politics,1.35M"
119,"ARY Zindagi,Entertainment,1.34M"
120,"Studio One,Education,1.34M"
121,"Haqeeqat Ki Dunya,Education,1.31M"
122,"Just Mehndi,Howto & Style,1.31M"
123,"Haris Awan,Entertainment,1.28M"
124,"The Art of Happiness,People & Blogs,1.27M"
125,"Now You Know It,Education,1.27M"
126,"top4U,Education,1.25M"
127,"The Akash Creations,Entertainment,1.24M"
128,"Islamic Wazaif Official,Education,1.24M"
129,"Sher Ghani,Science & Technology,1.23M"
130,"Lahori Prankstar,Entertainment,1.22M"
131,"Qurani Wazaif,Education,1.21M"
132,"Rohail Hyatt,Music,1.19M"
133,"Islam Call,Education,1.19M"
134,"Loose Talk,Entertainment,1.19M"
135,"The Idiotz,Entertainment,1.18M"
136,"I am Khaleel,Gaming,1.18M"
137,"Shan Ali TV,People & Blogs,1.18M"
138,"Online Islamic Tutor,Education,1.18M"
139,"Saqib Technology,Science & Technology,1.18M"
140,"Kushi Maqbool,Howto & Style,1.17M"
